排序,Pearson相关系数,距离相关系数,互信息
1,A类折溢价率,A类折溢价率,A类折溢价率
2,市净率PB.LF.内地.中位数,IPO首日换手率.中位数,市净率PB.LF.内地.中位数
3,股息率.近12个月.市值加权,股息率.近12个月.市值加权,市现率PCF.经营现金流TTM.中位数
4,市销率PS.TTM.市值加权,市净率PB.LF.市值加权,B类折溢价率
5,市净率PB.LF.市值加权,市净率PB.LF.内地.中位数,总减持股份数占比
6,市现率PCF.经营现金流TTM.中位数,市现率PCF.经营现金流TTM.中位数,平均换手率
7,市盈率PE.TTM.市值加权,市盈率PE.TTM.市值加权,周换手率
8,IPO首日换手率.中位数,市现率PCF.经营性现金流TTM.市值加权,总净买入股份数占比
9,市盈率PE.TTM.中位数,M0.同比,高管减持股份数占比
10,中债国债1年到期收益率,IPO30日涨跌幅.中位数,高管净买入股份数占比
11,中债国债6个月到期收益率,IPO30日换手率.中位数,B.A成交量对比
12,市现率PCF.经营性现金流TTM.市值加权,市销率PS.TTM.市值加权,总增持股份数占比
13,中债国债3个月到期收益率,市盈率PE.TTM.中位数,高管增持股份数占比
14,IPO60日涨跌幅.中位数,中债国债3个月到期收益率,超额收益率
15,M1.同比,中债国债1年到期收益率,B.A成交额对比
16,整体折溢价率,B类折溢价率,市盈率PE.TTM.市值加权
17,历史PEG.市值加权,IPO60日涨跌幅.中位数,市盈率PE.TTM.中位数
18,IPO30日涨跌幅.中位数,总减持股份数占比,历史PEG.市值加权
19,IPO30日换手率.中位数,中债国债6个月到期收益率,市现率PCF.经营性现金流TTM.市值加权
20,M2.同比,历史PEG.市值加权,中债国债6个月到期收益率
21,股息率.近12个月.中位数,换手率,换手率
22,IPO首日涨跌幅.中位数,平均换手率,中债国债5年到期收益率
23,X6个月SHIBOR,周换手率,整体折溢价率
24,B类折溢价率,A股账户新增开户数.万户,市净率PB.LF.市值加权
25,X1年SHIBOR,总净买入股份数占比,中债国债3个月到期收益率
26,X1个月SHIBOR,GDP.初步核算数.累计同比,中债国债1年到期收益率
27,高管净买入股份数占比,GDP.初步核算数.当季同比,股息率.近12个月.市值加权
28,GDP.初步核算数.当季同比,变动股票数占比,中债国债3年到期收益率
29,高管减持股份数占比,X3个月SHIBOR,中债国债10年到期收益率
30,超额收益率,M1.同比,变动股票数占比
31,变动股票数占比,M2.同比,X2周SHIBOR
32,GDP.初步核算数.累计同比,X6个月SHIBOR,中债国债30年到期收益率
33,X3个月SHIBOR,X1个月SHIBOR,市销率PS.TTM.市值加权
34,IPO家数,中债国债30年到期收益率,X1个月SHIBOR
35,中债国债3年到期收益率,股息率.近12个月.中位数,增持次数占比
36,IPO60日换手率.中位数,高管减持股份数占比,减持次数占比
37,PMI,增持次数占比,A股账户新增开户数.万户
38,X2周SHIBOR,减持次数占比,X3个月SHIBOR
39,总减持股份数占比,高管净买入股份数占比,涉及高管次数占比
40,发行基金数,发行总份额,X6个月SHIBOR
41,B.A成交量对比,PMI,股息率.近12个月.中位数
42,增持次数占比,中债国债3年到期收益率,X1年SHIBOR
43,减持次数占比,X1年SHIBOR,发行总份额
44,总净买入股份数占比,整体折溢价率,发行总份额.对应时点市场总市值
45,发行总份额,中债国债10年到期收益率,M0.同比
46,M0.同比,B.A成交量对比,M1.同比
47,涉及高管次数占比,X2周SHIBOR,IPO首日换手率.中位数
48,中债国债5年到期收益率,IPO首日涨跌幅.中位数,IPO30日涨跌幅.中位数
49,换手率,发行基金数,IPO30日换手率.中位数
50,平均换手率,发行总份额.对应时点市场总市值,IPO60日换手率.中位数
51,发行总份额.对应时点市场总市值,IPO家数,IPO60日涨跌幅.中位数
52,A股账户新增开户数.万户,总增持股份数占比,IPO首日涨跌幅.中位数
53,高管增持股份数占比,中债国债5年到期收益率,M2.同比
54,周换手率,IPO60日换手率.中位数,PMI
55,中债国债30年到期收益率,高管增持股份数占比,GDP.初步核算数.累计同比
56,总增持股份数占比,超额收益率,GDP.初步核算数.当季同比
57,B.A成交额对比,B.A成交额对比,发行基金数
58,中债国债10年到期收益率,涉及高管次数占比,IPO家数
